Pair	Group	Subject	buttPress
P00	control	CON001	120
P00	uncontrol	CON031	33
P01	control	CON002	178
P01	uncontrol	CON021	157
P02	control	CON003	178
P02	uncontrol	CON022	121
P03	control	CON004	178
P03	uncontrol	CON030	155
P04	control	CON005	178
P04	uncontrol	CON023	95
P05	control	CON006	178
P05	uncontrol	CON025	127
P06	control	CON007	178
P06	uncontrol	CON016	156
P07	control	CON008	178
P07	uncontrol	CON053	0
P08	control	CON009	178
P08	uncontrol	CON052	212
P09	control	CON010	178
P09	uncontrol	CON089	255
P10	control	CON011	178
P10	uncontrol	CON020	124
P11	control	CON012	178
P11	uncontrol	CON033	121
P12	control	CON013	178
P12	uncontrol	CON019	165
P13	control	CON014	178
P13	uncontrol	CON084	139
P14	control	CON015	178
P14	uncontrol	CON027	189
P15	control	CON017	178
P15	uncontrol	CON049	200
P16	control	CON018	178
P16	uncontrol	CON028	131
P17	control	CON024	178
P17	uncontrol	CON026	169
P18	control	CON029	178
P18	uncontrol	CON054	90
P19	control	CON032	178
P19	uncontrol	CON034	122
P20	control	CON035	178
P20	uncontrol	CON036	27
P21	control	CON037	178
P21	uncontrol	CON058	166
P22	control	CON038	178
P22	uncontrol	CON056	61
P23	control	CON039	178
P23	uncontrol	CON075	146
P24	control	CON040	178
P24	uncontrol	CON072	79
P25	control	CON041	178
P25	uncontrol	CON055	166
P26	control	CON042	178
P26	uncontrol	CON061	28
P27	control	CON043	178
P27	uncontrol	CON057	211
P28	control	CON044	178
P28	uncontrol	CON067	122
P29	control	CON045	178
P29	uncontrol	CON064	136
P30	control	CON046	178
P30	uncontrol	CON068	25
P31	control	CON047	178
P31	uncontrol	CON059	162
P32	control	CON048	178
P32	uncontrol	CON051	186
P33	control	CON050	178
P33	uncontrol	CON078	142
P34	control	CON060	126
P34	uncontrol	CON077	142
P35	control	CON062	164
P35	uncontrol	CON066	27
P36	control	CON063	178
P36	uncontrol	CON098	115
P37	control	CON065	178
P37	uncontrol	CON076	187
P38	control	CON069	178
P38	uncontrol	CON073	146
P40	control	CON071	91
P40	uncontrol	CON085	102
P41	control	CON074	178
P41	uncontrol	CON091	106
P42	control	CON079	178
P42	uncontrol	CON090	43
P43	control	CON080	178
P43	uncontrol	CON082	151
P44	control	CON081	178
P44	uncontrol	CON121	126
P45	control	CON083	178
P45	uncontrol	CON097	167
P46	control	CON086	178
P46	uncontrol	CON101	113
P47	control	CON087	178
P47	uncontrol	CON092	26
P48	control	CON088	178
P48	uncontrol	CON103	130
P49	control	CON093	178
P49	uncontrol	CON102	212
P50	control	CON094	178
P50	uncontrol	CON099	196
P51	control	CON095	178
P51	uncontrol	CON096	156
P53	control	CON104	178
P53	uncontrol	CON106	172
P54	control	CON105	94
P54	uncontrol	CON110	43
P55	control	CON107	178
P55	uncontrol	CON119	178
P56	control	CON108	178
P56	uncontrol	CON118	184
P57	control	CON109	178
P57	uncontrol	CON116	154
P58	control	CON111	178
P58	uncontrol	CON114	194
P59	control	CON112	178
P59	uncontrol	CON113	148
P60	control	CON115	178
P60	uncontrol	CON123	159
P61	control	CON117	178
P61	uncontrol	CON120	154
P62	control	CON122	178
P62	uncontrol	CON125	120
