Pair,Group,SubjID,Time,ROI,Response
P00,control,CON001,0.0,L Amygdala (BLBM),-0.174262
P00,control,CON001,1.25,L Amygdala (BLBM),0.0974572
P00,control,CON001,2.5,L Amygdala (BLBM),-0.185644
P00,control,CON001,3.75,L Amygdala (BLBM),-0.147363
P00,control,CON001,5.0,L Amygdala (BLBM),-0.079456
P00,control,CON001,6.25,L Amygdala (BLBM),0.0145409
P00,control,CON001,7.5,L Amygdala (BLBM),0.00767586
P00,control,CON001,8.75,L Amygdala (BLBM),0.257058
P00,control,CON001,10.0,L Amygdala (BLBM),0.207819
P00,control,CON001,11.25,L Amygdala (BLBM),0.0502556
P00,control,CON001,12.5,L Amygdala (BLBM),-0.201798
P00,control,CON001,13.75,L Amygdala (BLBM),-0.137433
P00,uncontrol,CON031,0.0,L Amygdala (BLBM),-0.0629323
P00,uncontrol,CON031,1.25,L Amygdala (BLBM),0.203709
P00,uncontrol,CON031,2.5,L Amygdala (BLBM),-0.0941443
P00,uncontrol,CON031,3.75,L Amygdala (BLBM),-0.0674119
P00,uncontrol,CON031,5.0,L Amygdala (BLBM),0.0709024
P00,uncontrol,CON031,6.25,L Amygdala (BLBM),-0.0371782
P00,uncontrol,CON031,7.5,L Amygdala (BLBM),-0.353423
P00,uncontrol,CON031,8.75,L Amygdala (BLBM),-0.401523
P00,uncontrol,CON031,10.0,L Amygdala (BLBM),-0.475395
P00,uncontrol,CON031,11.25,L Amygdala (BLBM),-0.331226
P00,uncontrol,CON031,12.5,L Amygdala (BLBM),-0.255891
P00,uncontrol,CON031,13.75,L Amygdala (BLBM),-0.323162
P01,control,CON002,0.0,L Amygdala (BLBM),-0.259837
P01,control,CON002,1.25,L Amygdala (BLBM),0.0113239
P01,control,CON002,2.5,L Amygdala (BLBM),0.257957
P01,control,CON002,3.75,L Amygdala (BLBM),0.519601
P01,control,CON002,5.0,L Amygdala (BLBM),-0.0805263
P01,control,CON002,6.25,L Amygdala (BLBM),0.249876
P01,control,CON002,7.5,L Amygdala (BLBM),-0.162795
P01,control,CON002,8.75,L Amygdala (BLBM),-0.162932
P01,control,CON002,10.0,L Amygdala (BLBM),0.0424156
P01,control,CON002,11.25,L Amygdala (BLBM),-0.053964
P01,control,CON002,12.5,L Amygdala (BLBM),0.268095
P01,control,CON002,13.75,L Amygdala (BLBM),0.291491
P01,uncontrol,CON021,0.0,L Amygdala (BLBM),2.14701
P01,uncontrol,CON021,1.25,L Amygdala (BLBM),-0.222962
P01,uncontrol,CON021,2.5,L Amygdala (BLBM),-0.626688
P01,uncontrol,CON021,3.75,L Amygdala (BLBM),1.05948
P01,uncontrol,CON021,5.0,L Amygdala (BLBM),0.230548
P01,uncontrol,CON021,6.25,L Amygdala (BLBM),0.98803
P01,uncontrol,CON021,7.5,L Amygdala (BLBM),-0.762191
P01,uncontrol,CON021,8.75,L Amygdala (BLBM),0.576786
P01,uncontrol,CON021,10.0,L Amygdala (BLBM),-0.942987
P01,uncontrol,CON021,11.25,L Amygdala (BLBM),0.712594
P01,uncontrol,CON021,12.5,L Amygdala (BLBM),0.033119
P01,uncontrol,CON021,13.75,L Amygdala (BLBM),0.826458
P02,control,CON003,0.0,L Amygdala (BLBM),-1.157
P02,control,CON003,1.25,L Amygdala (BLBM),-0.80181
P02,control,CON003,2.5,L Amygdala (BLBM),0.688009
P02,control,CON003,3.75,L Amygdala (BLBM),1.41533
P02,control,CON003,5.0,L Amygdala (BLBM),0.168041
P02,control,CON003,6.25,L Amygdala (BLBM),0.156907
P02,control,CON003,7.5,L Amygdala (BLBM),0.0477169
P02,control,CON003,8.75,L Amygdala (BLBM),-0.398282
P02,control,CON003,10.0,L Amygdala (BLBM),0.329385
P02,control,CON003,11.25,L Amygdala (BLBM),0.119269
P02,control,CON003,12.5,L Amygdala (BLBM),-0.247501
P02,control,CON003,13.75,L Amygdala (BLBM),-0.167182
P02,uncontrol,CON022,0.0,L Amygdala (BLBM),0.0798276
P02,uncontrol,CON022,1.25,L Amygdala (BLBM),-0.0478222
P02,uncontrol,CON022,2.5,L Amygdala (BLBM),-0.0764932
P02,uncontrol,CON022,3.75,L Amygdala (BLBM),0.0331864
P02,uncontrol,CON022,5.0,L Amygdala (BLBM),0.154933
P02,uncontrol,CON022,6.25,L Amygdala (BLBM),0.23494
P02,uncontrol,CON022,7.5,L Amygdala (BLBM),-0.185145
P02,uncontrol,CON022,8.75,L Amygdala (BLBM),-0.109952
P02,uncontrol,CON022,10.0,L Amygdala (BLBM),-0.185086
P02,uncontrol,CON022,11.25,L Amygdala (BLBM),-0.198548
