Group,Time,"L Inferior frontal gyrus/
precentral gyrus","L Dorsomedial prefrontal
 cortex","L Inferior temporal/
occipital gyrus","L Middle frontal gyrus/
precentral gyrus (frontal eye field)","L Anterior intraparietal
 sulcus",L Anterior insula,"L Posterior intraparietal
 sulcus","R Posterior cingulate
 cortex",R Superior lobule,L Caudate,R Cerebellum (lobule VI),L Putamen,L Superior parietal lobule,R Cerebellum (lobule VIIb),R Middle occipital gyrus,"L Middle/
 inferior occipital gyrus",L Inferior frontal gyrus,R Fusiform gyrus (1),R Fusiform gyrus (2),"L Anterior cingulate
 cortex",R Middle cingulate cortex
control,0.00000,-0.03430,-0.03625,-0.05652,-0.05227,-0.04886,-0.00539,-0.04713,-0.08437,-0.05604,-0.05905,-0.08645,-0.09790,-0.07547,-0.03564,-0.06380,0.06597,-0.14952,-0.02282,-0.02560,-0.04027,0.02771
control,1.25000,-0.19371,-0.15501,-0.20998,-0.17346,-0.15338,-0.03960,-0.27096,-0.41290,-0.22968,-0.12175,-0.31936,-0.08404,-0.27965,-0.17540,-0.26396,0.09693,-0.49498,-0.13082,-0.30791,-0.12850,-0.05913
control,2.50000,0.00590,0.01333,-0.05338,-0.00585,-0.01961,0.27852,-0.07937,-0.34424,-0.07559,0.14186,-0.11890,0.40539,-0.25128,-0.04762,-0.14304,0.17131,-0.40106,0.10478,-0.03647,-0.04826,0.01094
control,3.75000,0.31395,0.19783,0.22302,0.23053,0.24786,0.55151,0.25291,-0.12295,0.25107,0.18788,0.08407,0.44450,0.11696,0.14581,0.10570,0.39440,-0.38035,0.39732,0.47472,0.10273,0.16666
control,5.00000,0.30248,0.17144,0.28415,0.21851,0.29481,0.48774,0.31786,-0.10878,0.29946,0.06737,0.08197,0.20059,0.18435,0.06930,0.17800,0.40477,-0.32764,0.36851,0.46231,0.07050,0.20572
control,6.25000,0.23497,0.08338,0.21989,0.11541,0.28370,0.40457,0.22911,-0.15326,0.22129,0.02081,0.06510,0.00734,0.10886,0.07977,0.06833,0.22171,-0.25696,0.31329,0.24072,0.03232,0.18606
control,7.50000,0.10558,-0.00554,0.06274,0.00909,0.17611,0.31050,-0.00994,-0.21822,0.05427,-0.00061,-0.01299,-0.03099,-0.02321,-0.00915,-0.05912,0.05004,-0.22104,0.03730,-0.12205,-0.03880,0.16331
control,8.75000,0.01916,-0.06293,-0.05579,-0.07456,0.05794,0.21006,-0.15180,-0.28678,-0.06120,-0.04344,-0.02652,-0.04390,-0.14462,-0.04419,-0.17735,-0.06057,-0.17473,-0.10076,-0.25998,-0.06831,0.09109
control,10.00000,-0.02312,-0.06849,-0.09436,-0.09870,0.00080,0.13327,-0.19350,-0.29923,-0.13470,-0.02385,-0.04166,-0.05696,-0.17365,-0.07058,-0.18818,-0.20716,-0.10896,-0.14512,-0.26746,-0.03826,0.04716
control,11.25000,-0.01257,-0.05955,-0.08527,-0.07515,-0.00965,0.05791,-0.11245,-0.20862,-0.10124,0.01173,-0.01009,-0.04222,-0.16719,-0.01042,-0.09626,-0.17171,-0.04774,-0.15966,-0.13231,-0.04680,0.00221
