"mean","SD","P+","2.5%","5%","50%","95%","97.5%"
"L aMCC",0.0149,0.0328,0.6776,-0.0492,-0.0389,0.0147,0.0687,0.0799
"L Amygdala (BLBM)",0.0354,0.0342,0.8543,-0.0288,-0.0185,0.0344,0.0933,0.1054
"L Amygdala (CeME)",0.0151,0.0353,0.6636,-0.053,-0.042,0.0143,0.074,0.0857
"L Anterior dorsal insula",0.0017,0.0313,0.5212,-0.0608,-0.05,0.0017,0.0531,0.0636
"L Anterior ventral insula (anterior pole)",-0.0043,0.0317,0.4498,-0.0676,-0.0569,-0.004,0.0473,0.0577
"L lBST",-0.049,0.0466,0.147,-0.1451,-0.1283,-0.0471,0.0242,0.037
"L Mid Hippocampus",0.0165,0.0325,0.6952,-0.0467,-0.0368,0.0163,0.0705,0.0808
"L Mid posterior insula",0.0377,0.0312,0.8891,-0.0225,-0.0126,0.0371,0.0898,0.0997
"L PAG",-0.0022,0.0329,0.4818,-0.0677,-0.0569,-0.0015,0.0508,0.061
"L Thalamus (emoproxI shock intersection)",-0.0026,0.032,0.4708,-0.0663,-0.0555,-0.0024,0.0495,0.0593
"PCC (1)",-0.0021,0.0359,0.4818,-0.0742,-0.0622,-0.0015,0.0565,0.0672
"PCC (2)",-0.0112,0.04,0.3978,-0.0932,-0.0791,-0.0101,0.0526,0.0659
"R aMCC",0.0744,0.0411,0.9706,-0.0022,0.0088,0.0735,0.1441,0.1575
"R Amygdala (BLBM)",0.0485,0.0351,0.9198,-0.0176,-0.0076,0.0473,0.1078,0.12
"R Amygdala (CeME)",0.0367,0.0353,0.8526,-0.0297,-0.0192,0.0357,0.0968,0.1087
"R Anterior dorsal insula",-0.0039,0.0313,0.4556,-0.0666,-0.0565,-0.0033,0.0466,0.0565
"R Anterior ventral insula (anterior pole)",-0.0161,0.0326,0.312,-0.0816,-0.0709,-0.0152,0.0364,0.0462
"R BST",-0.0783,0.0474,0.0449,-0.1755,-0.1587,-0.0771,-0.0023,0.0103
"R Mid posterior insula",0.0353,0.0311,0.8737,-0.0248,-0.015,0.035,0.0868,0.0974
"R PAG",0.0071,0.0327,0.5887,-0.0582,-0.0469,0.0071,0.0605,0.0714
"R Posterior Hippocampus",0.0217,0.0314,0.7546,-0.0397,-0.0292,0.021,0.0743,0.0851
"R Thalamus (emoproxI shock intersection)",0.0011,0.0321,0.517,-0.0629,-0.052,0.0013,0.0532,0.0642
"vmPFC (from out lab)",0.0267,0.0323,0.798,-0.035,-0.0252,0.0262,0.08,0.0914
"vmPFC (new 5mm sphere from Hartley paper)",0.0165,0.032,0.7002,-0.0466,-0.0358,0.0164,0.0691,0.0793
